RF,BF,VM,ST,target
0.0045,-0.0015,-0.0105,0.003,normal
0.0022,-0.0023,-0.0135,0.0022,normal
0.0015,-0.0008,-0.012,0.0045,normal
0.0022,-0.003,-0.0105,0.0037,normal
-0.0008,-0.003,-0.0128,0.0045,normal
0.0015,-0.003,-0.0135,0.0045,normal
0.0015,-0.0023,-0.0158,0.003,normal
0,0.0007,-0.0173,0.0052,normal
0,-0.0008,-0.0165,0.0067,normal
-0.0015,0.0015,-0.0181,0.0067,normal
-0.003,0.0007,-0.0203,0.0045,normal
-0.0015,-0.0008,-0.0195,0.009,normal
0.0007,0.0015,-0.0218,0.0105,normal
0.0022,0.003,-0.024,0.0097,normal
0.0007,0.0045,-0.024,0.0112,normal
-0.0008,0.0045,-0.0256,0.012,normal
-0.0015,0.0082,-0.0256,0.012,normal
-0.0023,0.0067,-0.027,0.009,normal
-0.0015,0.0052,-0.027,0.0105,normal
-0.003,0.0045,-0.0256,0.0082,normal
-0.0015,0.003,-0.0256,0.0105,normal
0,0.003,-0.0256,0.0097,normal
-0.0015,0.003,-0.0233,0.006,normal
-0.0015,0.0022,-0.0225,0.0075,normal
0.0007,0.0015,-0.0218,0.0052,normal
0.0007,0.0015,-0.0218,0.0082,normal
-0.0015,0.003,-0.0203,0.0082,normal
0.0015,0.0015,-0.0203,0.009,normal
0.0007,0.0022,-0.0203,0.0082,normal
-0.003,0.0007,-0.0195,0.0075,normal
0,0.0007,-0.0188,0.0082,normal
0.0037,0.003,-0.0195,0.0067,normal
0.0052,0.003,-0.0181,0.0082,normal
0.0067,0.0007,-0.0158,0.0052,normal
0.0045,0.0015,-0.0158,0.0067,normal
0.0037,-0.0008,-0.0158,0.0045,normal
0.0045,-0.0023,-0.015,0.0052,normal
0.0022,-0.0008,-0.0143,0.0052,normal
0.0007,0.0007,-0.0158,0.0037,normal
-0.0008,0.0007,-0.0158,0.006,normal
0,0.0007,-0.0135,0.0007,normal
0.0022,0.0015,-0.0135,0.003,normal
0.003,0.0015,-0.0105,0.0015,normal
0.003,-0.0008,-0.0091,0,normal
0.0022,-0.0008,-0.0068,-0.0008,normal
0.0075,0.0007,-0.0105,0.0007,normal
0.0052,-0.0008,-0.0143,0.003,normal
0.0045,-0.003,-0.0128,0,normal
0.0052,-0.003,-0.0128,-0.0008,normal
0.003,-0.0015,-0.0135,-0.0015,normal
0.0037,-0.0008,-0.0158,0.0007,normal
0.0045,-0.0046,-0.015,0.0007,normal
0.0052,-0.0046,-0.0143,0.0007,normal
0.0037,-0.003,-0.012,0.0015,normal
0.0037,-0.0015,-0.0083,0.0022,normal
0.003,-0.0008,-0.006,0.0045,normal
0.0007,-0.0015,-0.006,0.0052,normal
0.0015,0.0007,-0.0046,0.0045,normal
0.0052,0.0022,0.0007,0.0052,normal
0.0037,0.0015,0.003,0.0052,normal
0.0052,0.003,0.0037,0.0082,normal
0.0052,0.0007,0.003,0.0105,normal
0.003,-0.0008,0.0045,0.0067,normal
0.0045,0.0015,0.0045,0.0075,normal
0.0045,0.0015,0.0052,0.0067,normal
0.0045,0,0.009,0.003,normal
-0.0008,0.0007,0.0075,0.0022,normal
-0.0015,-0.0015,0.009,0.0007,normal
-0.006,0.0007,0.012,0.0007,normal
-0.0038,0,0.0112,0.0007,normal
0.0015,-0.0023,0.0127,0,normal
0.0007,-0.0008,0.015,0.003,normal
-0.0015,-0.0008,0.0157,0.003,normal
-0.0015,0.0007,0.0157,0.0015,normal
-0.0008,0,0.0142,0.0007,normal
-0.003,-0.0008,0.0127,0.0007,normal
0.0007,0.0022,0.0127,0.0007,normal
0.0022,0.003,0.0127,0.0007,normal
0,0.003,0.0127,0.0037,normal
-0.0008,-0.0008,0.0112,0.003,normal
-0.003,-0.0015,0.0082,0.003,normal
0,0.0015,0.0052,0.0015,normal
0.0015,0,0.003,-0.0008,normal
0.0007,-0.003,0.0037,-0.0008,normal
-0.0008,-0.0046,0.0045,0,normal
0.0015,-0.0023,0.0037,0,normal
0.0045,-0.0008,0.003,0,normal
0.0052,0.0007,0.0015,0.0007,normal
0.0007,-0.0008,-0.0008,0.0007,normal
0.0007,0.0007,0.0007,0.0007,normal
0.0007,0.0015,0.003,0.0015,normal
0.0007,0.0015,-0.0008,0.0015,normal
0.003,-0.0015,-0.0008,0,normal
0.0022,-0.0015,-0.0015,-0.0023,normal
0.0007,-0.0008,-0.0015,-0.0023,normal
0.0007,-0.003,0,-0.003,normal
0.0037,-0.0015,-0.0008,-0.0008,normal
0.0022,-0.0023,0.003,-0.0008,normal
0.0037,-0.0008,0.0052,0.0022,normal
0.0015,0,0.0067,0.0045,normal
0.0007,-0.0015,0.0045,0.003,normal
0.0015,0.0007,0.0037,0.0015,normal
0.0015,-0.0015,0.0037,-0.0015,normal
0.0007,-0.0023,0.0075,0.0007,normal
0.0022,-0.0008,0.009,0.0007,normal
0.003,0.0007,0.0067,0.0007,normal
-0.0008,-0.0015,0.0052,0.0007,normal
0.0037,-0.0015,0.0022,0.003,normal
0.0015,-0.0008,0.0037,0.0022,normal
-0.0015,0,0.0052,0.0015,normal
0.0007,-0.0008,0.0075,0.0045,normal
-0.0008,-0.0023,0.012,0.003,normal
0.0007,-0.0008,0.015,0.0052,normal
0.0052,-0.0008,0.0225,0.0075,normal
0.0097,0.0007,0.0285,0.0112,normal
0.0112,0.0022,0.0307,0.0127,normal
0.0142,0.0007,0.03,0.012,normal
0.0142,0,0.03,0.0105,normal
0.0112,-0.0008,0.0277,0.0097,normal
0.009,-0.0008,0.0247,0.0082,normal
0.003,-0.0015,0.0255,0.0067,normal
0.003,-0.0023,0.0232,0.0067,normal
-0.0008,-0.0015,0.0217,0.0067,normal
-0.0015,-0.0015,0.0202,0.0045,normal
0.0007,-0.0015,0.0217,0.0037,normal
0.0007,-0.0008,0.0232,0.0075,normal
0.003,-0.0008,0.0187,0.0067,normal
-0.0008,0,0.0232,0.006,normal
-0.0023,0.0007,0.0232,0.0067,normal
-0.0015,-0.0008,0.0217,0.0052,normal
-0.003,-0.0008,0.0202,0.003,normal
-0.0023,0,0.0172,0.003,normal
-0.0008,-0.0008,0.018,0.003,normal
-0.0008,0.0007,0.0157,-0.0008,normal
-0.0015,-0.0008,0.0157,-0.0023,normal
0.0007,-0.0015,0.012,-0.0046,normal
-0.0008,0.0015,0.0127,-0.006,normal
-0.0008,0,0.0135,-0.006,normal
-0.0015,0,0.012,-0.0083,normal
-0.003,0.0007,0.0127,-0.0091,normal
-0.0015,-0.0015,0.0105,-0.0128,normal
0.0022,0.0007,0.012,-0.0128,normal
0.0045,0,0.0112,-0.0128,normal
0.0015,-0.0015,0.009,-0.015,normal
0.0045,-0.0015,0.0105,-0.015,normal
0.0022,-0.0023,0.0105,-0.0158,normal
-0.0008,-0.0008,0.0105,-0.0173,normal
0,-0.0008,0.0097,-0.015,normal
-0.0023,-0.003,0.0097,-0.0158,normal
-0.0053,-0.0046,0.009,-0.0165,normal
-0.0053,-0.003,0.0082,-0.0181,normal
-0.0053,-0.0038,0.006,-0.0188,normal
-0.0053,-0.003,0.0015,-0.0165,normal
-0.0038,-0.0046,0.0007,-0.0173,normal
-0.0023,-0.0053,0.0015,-0.0188,normal
-0.006,-0.003,0.0015,-0.0203,normal
-0.0083,-0.0008,0.0015,-0.0233,normal
-0.0053,-0.0008,-0.0038,-0.0256,normal
-0.0053,-0.0015,-0.0083,-0.0263,normal
0.0015,0,-0.0113,-0.0218,normal
0.003,-0.003,-0.0143,-0.024,normal
0,-0.0008,-0.0143,-0.024,normal
0.0045,-0.0015,-0.012,-0.0225,normal
0.003,-0.0023,-0.012,-0.0233,normal
0.0045,-0.003,-0.0135,-0.0218,normal
0.0075,-0.0038,-0.0143,-0.0233,normal
0.0082,0.0007,-0.0181,-0.0218,normal
0.006,0.0007,-0.0181,-0.0218,normal
0.0045,-0.0008,-0.0173,-0.0233,normal
0.0067,-0.0008,-0.0181,-0.0225,normal
0.0067,-0.0015,-0.0181,-0.024,normal
0.0052,-0.0023,-0.0218,-0.027,normal
0.006,-0.0015,-0.021,-0.0308,normal
0.006,-0.003,-0.0188,-0.0315,normal
0.0082,-0.003,-0.0195,-0.0368,normal
0.0082,-0.0008,-0.0165,-0.0428,normal
0.006,-0.0008,-0.0195,-0.0458,normal
0.0052,-0.0023,-0.0173,-0.048,normal
0.0067,-0.003,-0.0158,-0.045,normal
0.0067,-0.0046,-0.015,-0.0443,normal
0.0075,-0.0046,-0.0113,-0.042,normal
0.0082,-0.0015,-0.0105,-0.0405,normal
0.009,-0.0023,-0.0075,-0.042,normal
0.0082,-0.0015,-0.006,-0.0428,normal
0.0067,-0.0023,-0.0068,-0.0383,normal
0.003,-0.0038,-0.0075,-0.0368,normal
0.003,-0.003,-0.0068,-0.0346,normal
0.003,-0.0053,-0.003,-0.0315,normal
-0.0015,-0.0046,-0.0023,-0.0346,normal
0.0007,-0.0046,-0.0015,-0.0353,normal
0.0045,-0.0068,0,-0.0353,normal
0.0015,-0.0068,0.0007,-0.033,normal
0.0007,-0.0068,0.0015,-0.0293,normal
0.0015,-0.0053,0.0037,-0.0256,normal
0.0015,-0.0015,0.0045,-0.0195,normal
0.0037,0.0015,0.006,-0.0128,normal
0.003,0.0045,0.0052,-0.0053,normal
0.0015,0.003,0.003,-0.0008,normal
0.0015,0.0022,0.0007,0.0037,normal
-0.0008,0.003,0.0007,0.0105,normal
-0.003,0.0045,0.0022,0.0172,normal
-0.0015,0.0052,0.003,0.027,normal
-0.0008,0.0052,0.0015,0.0367,normal
-0.003,0.009,-0.0008,0.0367,normal
-0.0015,0.0045,-0.003,0.0375,normal
-0.0008,0.0015,-0.0023,0.0352,normal
-0.0008,0.003,0.0015,0.033,normal
0,0.0007,0.0007,0.0345,normal
0,-0.0008,0.0007,0.0345,normal
0.0007,0.0007,0.0022,0.033,normal
0.003,0.0007,0.0007,0.0315,normal
0.0022,0.0022,-0.0008,0.036,normal
-0.0015,0.003,-0.0015,0.0405,normal
-0.003,0.0045,-0.0008,0.0457,normal
0.0007,0.0067,0,0.0517,normal
0.0007,0.0067,-0.0008,0.0532,normal
0,0.0075,-0.0015,0.057,normal
0.003,0.009,-0.003,0.0577,normal
-0.0023,0.0082,-0.0046,0.0547,normal
-0.003,0.0067,-0.0046,0.054,normal
0.0007,0.0045,-0.006,0.0495,normal
0.0007,0.003,-0.0091,0.0472,normal
-0.0008,0.003,-0.0105,0.0435,normal
-0.003,-0.0015,-0.0113,0.0405,normal
-0.003,0.0007,-0.0113,0.0405,normal
-0.0015,0.0007,-0.0098,0.0397,normal
0.0007,-0.0008,-0.0083,0.0412,normal
0.0015,0.0007,-0.006,0.039,normal
-0.0008,-0.0008,-0.003,0.0367,normal
0.0037,-0.0008,-0.0046,0.0337,normal
0.0045,0,-0.0023,0.033,normal
0.0015,0,-0.0015,0.0382,normal
0.0007,-0.0008,-0.0038,0.042,normal
0.0045,-0.003,-0.0046,0.0442,normal
0.0045,0,-0.0023,0.0465,normal
0.0067,0.0007,-0.0008,0.045,normal
0.009,0.0052,0,0.0397,normal
0.0075,0.0045,0.003,0.0367,normal
0.0127,0.0007,0.003,0.033,normal
0.0082,-0.0015,-0.0015,0.0285,normal
0.0022,-0.0068,-0.003,0.0255,normal
0.0052,-0.0053,-0.0023,0.0217,normal
0.0037,-0.0046,-0.0046,0.021,normal
0.0045,-0.0038,-0.0038,0.0232,normal
0.0082,-0.0015,0,0.024,normal
0.0082,0.0007,0.0007,0.0217,normal
0.0082,0.0037,0.0007,0.0165,normal
0.009,0.0052,0.0007,0.0127,normal
0.0105,0.0037,0.0022,0.0127,normal
0.0097,0.0015,0.003,0.0105,normal
0.0112,0,0.0037,0.003,normal
0.0082,-0.0015,0.0045,-0.0046,normal
0.0075,-0.003,0.0037,-0.0098,normal
0.0052,-0.003,0.003,-0.012,normal
0.003,-0.0046,0.0022,-0.0143,normal
0.0015,-0.0008,0,-0.0195,normal
0.003,0.0007,-0.0008,-0.0256,normal
0.0045,-0.0023,0.0015,-0.027,normal
0.003,-0.0008,0.0007,-0.0293,normal
0.006,0,-0.0008,-0.0285,normal
0.0045,0,0,-0.0256,normal
0.003,0.0007,0.0007,-0.0248,normal
0.0045,0.0015,0.003,-0.0233,normal
0.0052,0.003,0.0052,-0.0225,normal
0.003,0.003,0.0045,-0.021,normal
0.0022,0.0037,0.0045,-0.0233,normal
-0.0008,0.0052,0.0052,-0.027,normal
-0.0023,0.0037,0.006,-0.0285,normal
0.0007,0.0045,0.0067,-0.0308,normal
-0.0008,0.0067,0.0037,-0.0315,normal
-0.0008,0.0045,0.003,-0.0405,normal
-0.0015,0.0015,0.0015,-0.0518,normal
-0.0046,0.0007,0.0015,-0.0585,normal
-0.003,-0.003,0.0015,-0.0608,normal
-0.0023,-0.0008,0.0007,-0.057,normal
-0.003,0.0007,0.0022,-0.0548,normal
-0.0015,-0.0015,0.0015,-0.0511,normal
-0.0015,-0.0046,0.0015,-0.0495,normal
-0.0015,-0.0046,0.0037,-0.0458,normal
0.0007,-0.003,0.0022,-0.0413,normal
0,-0.0015,0.003,-0.0338,normal
0.0007,-0.0015,0.003,-0.0218,normal
-0.0015,-0.0015,0.003,-0.0113,normal
0,0,0.0067,0,normal
0,0.0015,0.0075,0.0105,normal
0,-0.0015,0.0067,0.0157,normal
0.0045,-0.0038,0.0052,0.015,normal
-0.0008,-0.003,0.0067,0.018,normal
-0.0008,-0.0053,0.006,0.0232,normal
-0.0008,-0.006,0.003,0.0307,normal
-0.0015,-0.0075,0.0007,0.042,normal
-0.0015,-0.0083,-0.0008,0.054,normal
-0.0015,-0.0053,0.0015,0.0637,normal
-0.003,-0.0038,-0.0008,0.0645,normal
-0.0053,-0.0015,0.0015,0.0622,normal
0,-0.0015,-0.0105,-0.0181,normal
0.0045,0.0022,0.0007,0.0037,normal
0.0142,-0.006,0.0007,0,normal
0.0165,-0.006,0,0,normal
0.0165,-0.006,0,0.0007,normal
0.018,-0.0091,-0.0015,-0.0008,normal
0.0202,-0.0075,-0.0015,-0.0023,normal
0.009,-0.006,0,-0.0015,normal
-0.003,-0.0023,0.0007,0.0007,normal
-0.0158,-0.003,0,-0.0008,normal
-0.027,-0.0046,0.003,-0.0008,normal
-0.0263,-0.0015,0.0045,-0.0015,normal
-0.0195,-0.0046,0.0045,-0.0015,normal
-0.0105,-0.003,0.0015,0,normal
-0.0008,0.0045,-0.0015,-0.0008,normal
0.0045,0.0007,-0.0046,-0.003,normal
0.0105,-0.0046,-0.0053,-0.0008,normal
0.0105,0.0052,-0.0068,-0.0008,normal
0.0045,0.006,-0.0046,-0.0023,normal
0.0007,-0.0015,-0.0038,-0.003,normal
-0.0053,-0.0023,-0.0068,-0.0053,normal
-0.0068,-0.0068,-0.0068,-0.0015,normal
-0.003,-0.0046,-0.0023,-0.0008,normal
-0.0008,-0.0023,-0.0015,-0.0015,normal
0.0037,-0.0008,0.0007,0.0015,normal
0.0067,0.0037,0.0075,0.0045,normal
0.0105,0.0022,0.0097,0.0022,normal
0.0217,0.0007,0.0075,0.0007,normal
0.027,-0.0053,0.0045,0,normal
0.0277,-0.003,0.0022,-0.003,normal
0.0157,0.0015,0.0015,-0.0038,normal
0.0067,0.0052,0.0022,-0.0015,normal
0.009,0.0082,0.0007,-0.0008,normal
0.0045,0.003,0.0015,-0.0008,normal
0.0045,0.0015,0.0022,-0.0015,normal
-0.0015,0.0007,0.0015,-0.0023,normal
-0.0053,0.0007,0.003,-0.0008,normal
-0.0008,0.0007,0.003,0.0007,normal
-0.0046,0.0007,0.0022,-0.0008,normal
-0.003,0.0022,0.0007,0,normal
-0.0046,0.0015,0,0.0015,normal
-0.0083,0.0037,-0.0008,0.0037,normal
-0.0091,0.0015,-0.0046,0.0007,normal
-0.012,0.0015,-0.0023,0.0015,normal
-0.0075,-0.0008,0,0.0007,normal
-0.0068,-0.003,0.0007,-0.0015,normal
-0.003,0.0015,0.0022,0,normal
0.0022,0.0015,0.0015,-0.0015,normal
-0.0008,0.0015,0.0015,-0.0008,normal
0.0022,-0.0015,0.0007,-0.0023,normal
0,-0.0046,-0.0008,0.0007,normal
0.0007,-0.0008,-0.0008,0.0015,normal
0.0052,0,0.0015,-0.0015,normal
0.0015,0.0007,0.0015,-0.0008,normal
0.0045,0.0007,0.003,-0.0023,normal
0.006,0.0015,0.003,0,normal
0.0052,0.0015,0.003,-0.0008,normal
0.0082,-0.0015,0.0015,-0.0015,normal
0.006,-0.0008,0.0007,-0.0038,normal
0.0052,-0.0015,-0.0008,-0.003,normal
0.0052,-0.0015,-0.0008,-0.0008,normal
0.0052,-0.0008,-0.0015,-0.0008,normal
0.0052,-0.0015,-0.0015,0,normal
0.0037,-0.0015,-0.003,-0.0015,normal
0.0022,-0.0046,-0.003,0.0007,normal
0.0045,-0.0046,-0.0015,0.0007,normal
0.0045,-0.0038,-0.0008,0,normal
0.003,-0.0023,0,-0.0008,normal
0.0022,-0.0008,0,-0.0008,normal
0,-0.0008,0,-0.0008,normal
0.0022,0.0007,0.0007,-0.003,normal
0.0045,-0.0008,0.0007,-0.0008,normal
0.0045,-0.0008,0.0015,-0.0023,normal
0.009,-0.0023,0.0007,-0.003,normal
0.0067,-0.0083,0.0007,-0.0015,normal
0.0045,-0.0083,-0.0015,-0.0008,normal
0.0067,-0.0091,0.0007,-0.0008,normal
0.0067,-0.0068,0.0015,-0.003,normal
0.012,-0.0015,0.0007,-0.0015,normal
0.0082,0.0052,0.0037,0.0007,normal
-0.0008,0.0135,0.0067,0.0037,normal
-0.0053,0.0157,0.0082,0.003,normal
-0.015,0.0067,0.0037,-0.0023,normal
-0.0173,-0.0053,0,-0.0023,normal
-0.0143,-0.0128,-0.0046,-0.0023,normal
-0.0105,-0.0173,-0.0068,-0.0038,normal
-0.0038,-0.0165,-0.0068,-0.0015,normal
0.0015,-0.0165,-0.0046,0.0007,normal
0.0082,-0.0135,-0.003,0.0015,normal
0.0142,-0.0091,-0.006,0.003,normal
0.0112,0.0007,-0.0023,0.0045,normal
0.0082,0.0247,0.0015,0.0045,normal
0.009,0.0427,0.0045,0.006,normal
0.0052,0.042,0.0052,0.0052,normal
0.0045,0.03,0.0037,0.003,normal
0.0022,0.021,0.0022,0.0015,normal
-0.0105,0.012,0.0015,-0.0015,normal
-0.0128,0.0007,0,-0.0015,normal
-0.0098,-0.0015,-0.0008,-0.0015,normal
-0.0098,-0.0068,0,-0.0038,normal
-0.0015,-0.0113,-0.0015,-0.0015,normal
-0.0015,-0.0083,-0.0015,0.0015,normal
0.0007,-0.0091,-0.0023,0.0015,normal
0.003,-0.0083,-0.0008,-0.0015,normal
0.0007,-0.0068,0.003,-0.0015,normal
0.0045,-0.006,0.0015,-0.0008,normal
0.009,-0.003,0.0037,-0.0008,normal
0.0165,-0.006,0.0037,-0.003,normal
0.024,-0.006,0.0037,-0.0023,normal
0.0225,-0.003,0.0052,0.0007,normal
0.0142,-0.0046,0.0037,0.0015,normal
0.0082,-0.0023,0.0015,0.0045,normal
0,-0.0008,-0.003,0.0045,normal
-0.0075,-0.0015,-0.003,0.0045,normal
-0.0091,-0.0015,0,0.0015,normal
-0.012,-0.0046,-0.0015,0,normal
-0.0113,-0.0015,0.0007,0.0022,normal
-0.0053,0.0007,0.0007,0,normal
-0.0015,0.0015,-0.0008,-0.0008,normal
0.0007,-0.0008,-0.0008,-0.003,normal
-0.0008,-0.0038,0,-0.0053,normal
0.0022,-0.0046,0.0037,-0.0053,normal
0.006,-0.003,0.0007,-0.0015,normal
0.0067,0,-0.0015,-0.0015,normal
0.0067,0,-0.003,-0.0023,normal
0.0067,-0.0008,-0.003,0,normal
0.0067,-0.0046,-0.0008,-0.0008,normal
0.0052,-0.0068,-0.0015,-0.0008,normal
0.009,-0.0075,-0.0008,-0.0008,normal
0.0097,-0.0068,-0.0008,-0.0008,normal
0.0112,-0.0068,-0.0008,0.003,normal
0.0127,-0.0075,-0.003,0.003,normal
0.0082,0.0015,-0.0023,0.003,normal
0.009,0.0165,-0.0008,0.0022,normal
0.0007,0.0157,-0.0008,0.0007,normal
0.0015,-0.0008,0.0015,-0.0008,normal
0.0015,0.0007,0.0015,-0.003,normal
-0.0053,0.0105,0.003,-0.003,normal
-0.003,0.006,0.003,-0.0015,normal
-0.0053,-0.0015,0.003,-0.0015,normal
-0.006,-0.0083,0.0007,-0.0023,normal
0,-0.006,-0.0015,0,normal
0.0045,0.003,0,0.0022,normal
0.003,0.0187,0.003,0.0022,normal
0.0015,0.0262,0.0037,0.0015,normal
0,0.0172,0.0052,0.0015,normal
-0.0008,0.006,0.003,0.0015,normal
-0.0046,0.0045,0.0007,0.0022,normal
-0.0053,0.0052,-0.0008,0.0007,normal
-0.0015,-0.0015,-0.0023,-0.0015,normal
-0.0023,-0.006,0.0015,-0.0038,normal
0,-0.0105,0.0015,-0.003,normal
-0.003,-0.0105,0.003,-0.0015,normal
-0.0038,-0.0091,0.0007,-0.0015,normal
-0.003,-0.0053,-0.0015,-0.003,normal
-0.0046,-0.0046,0.0007,-0.003,normal
-0.0046,-0.0046,0,-0.0008,normal
-0.006,-0.0015,0.0015,0.0037,normal
0.0007,-0.0008,-0.0008,0.0045,normal
0.0052,-0.0015,0.0007,0.0052,normal
0.003,-0.0015,0.003,0.0015,normal
0.0037,0,0.0045,-0.0008,normal
0.0045,-0.0015,0.0052,-0.0008,normal
0.0097,0,0.0045,-0.0008,normal
0.0142,-0.0015,-0.0008,0,normal
0.0165,-0.0053,-0.006,-0.0038,normal
0.0082,-0.0046,-0.0038,-0.003,normal
-0.0015,-0.0068,-0.0015,-0.003,normal
-0.0068,-0.0098,-0.0023,-0.003,normal
-0.0143,-0.0083,-0.0008,-0.003,normal
-0.0158,-0.0068,-0.0015,-0.003,normal
-0.0181,-0.0046,-0.0008,0.0007,normal
-0.0091,-0.0023,0.0015,0.0007,normal
0.0007,-0.0015,0.0022,0.0007,normal
0.0037,-0.0008,0.0037,0.0007,normal
0.012,0,0.0045,-0.0008,normal
0.009,0.0007,0.0037,0.0007,normal
0.009,0.0007,0.0015,0.0007,normal
0.0105,0.0007,0.0015,-0.0023,normal
0.009,0.0022,0.0007,-0.003,normal
0.0112,0.0037,-0.0015,-0.0015,normal
0.0045,0.0015,-0.0015,-0.0008,normal
0.0037,0.0022,-0.0008,-0.0008,normal
0.0015,0.0022,0.0007,-0.0008,normal
0.0037,0.0015,-0.0015,0.0015,normal
0.0075,0,-0.0008,0.003,normal
0.0052,-0.003,0.0007,0.0022,normal
0.0052,-0.0046,0.0015,0.0015,normal
0.0045,-0.0038,0.0007,0.0015,normal
0.0045,-0.0008,0.0007,-0.0008,normal
0.0052,0.0075,0.0007,-0.0015,normal
0.0015,0.0105,0.0015,0.0022,normal
0.0015,0.0067,0.0015,0.0015,normal
-0.0015,0.0052,-0.0008,0.0007,normal
-0.0038,0.006,0.0007,-0.0008,normal
0.0007,0.003,0.0022,0.0007,normal
0,0.0022,0.0015,0.0015,normal
0.0022,-0.0015,0.0007,-0.0015,normal
-0.0008,-0.0083,-0.0015,-0.0015,normal
-0.006,-0.0105,0.0007,-0.0023,normal
-0.003,-0.0083,0.0022,-0.0008,normal
-0.0023,-0.0091,0.0037,-0.0015,normal
0.0015,-0.012,0.0015,-0.003,normal
0.003,-0.0098,-0.0023,-0.0015,normal
0.0022,-0.0068,0,-0.0008,normal
0.0022,-0.0046,-0.0008,0.0007,normal
0.0052,-0.0105,0,-0.0008,normal
0.0022,-0.0068,0.0007,-0.0008,normal
0.003,0.0082,0,0.003,normal
0.003,0.0255,0.0007,0.003,normal
0,0.0352,0.0007,-0.0008,normal
0.0045,0.027,0.0015,-0.0015,normal
0.0007,0.0142,-0.0008,-0.003,normal
0.0037,0.0052,-0.0015,-0.003,normal
0.0075,-0.0015,-0.0008,-0.0015,normal
0.0105,-0.0053,0,-0.0008,normal
0.0135,-0.0068,-0.0008,0.0015,normal
0.0067,-0.0053,-0.0008,0.0015,normal
0.0045,-0.006,-0.0015,0.0007,normal
0.003,-0.0046,-0.0046,-0.0015,normal
0,-0.0046,-0.0053,-0.0046,normal
0,-0.0046,-0.0053,-0.0046,normal
0.0007,-0.003,-0.003,-0.0053,normal
-0.0015,0,0.0015,-0.0015,normal
-0.0008,-0.0015,0.0015,0,normal
0.0022,-0.0046,0.0007,0.0022,normal
0.0037,-0.006,-0.0008,0.0015,normal
0.009,-0.006,-0.0008,-0.0015,normal
0.0082,-0.003,0.0015,0.0045,normal
0.0082,-0.0023,0.0037,0.0037,normal
0.0105,-0.003,0.006,0.0007,normal
0.0045,0.0007,0.0052,0.003,normal
0.0045,0.0052,0.003,0.003,normal
0.0045,0.003,0.0015,0.0015,normal
-0.0015,-0.0008,0.0037,-0.0008,normal
-0.0008,-0.0008,0.0037,-0.0008,normal
0,-0.0046,0.0007,0,normal
-0.0008,-0.0083,0,0,normal
-0.0015,-0.0068,-0.0015,-0.0008,normal
-0.0008,-0.0068,-0.0015,-0.003,normal
-0.0023,-0.0053,0.0007,-0.0015,normal
-0.0015,-0.0015,0.0007,0,normal
0,-0.0008,0.0022,0.0007,normal
0,0.009,0.0022,-0.0008,normal
0.0015,0.0232,0.0015,-0.0015,normal
-0.0046,0.018,0.0007,0,normal
-0.0008,0.0007,-0.0008,-0.0008,normal
0.0082,-0.0008,-0.0015,0.0007,normal
0.0082,-0.0015,-0.0008,-0.0015,normal
0.009,-0.0015,-0.0008,-0.003,normal
0.0067,-0.0046,-0.0038,-0.0008,normal
0.0015,-0.0075,-0.003,-0.0015,normal
-0.0015,0.0015,-0.003,-0.0008,normal
-0.0053,0.006,-0.0053,-0.0008,normal
-0.0128,0.0165,-0.003,0.0007,normal
-0.012,0.0105,-0.003,0.0007,normal
-0.0068,-0.0068,0,-0.003,normal
-0.0046,-0.0098,0.0015,-0.0015,normal
-0.0008,-0.0158,0.0015,-0.003,normal
-0.003,-0.0181,0.003,-0.0023,normal
0,-0.0218,0.003,0.0007,normal
0.0007,-0.0181,0.0045,0.0007,normal
0,0.0045,0.003,0.0015,normal
0.0037,0.0217,-0.0008,0.0007,normal
0.003,0.024,-0.0038,0.0022,normal
0.0045,0.0165,-0.0015,0.0007,normal
0.006,0.012,0,0.0007,normal
0.0052,0.0067,-0.0008,-0.0008,normal
0.0067,0.0007,0,-0.0008,normal
0.006,-0.0008,-0.0015,0.0015,normal
0.003,-0.0023,0,-0.0015,normal
0.0015,-0.0015,0.0015,0.0015,normal
0.0007,-0.0038,0.0015,0.0007,normal
-0.0008,-0.003,0.0007,-0.0015,normal
0.0022,-0.0015,-0.0015,-0.0008,normal
0.003,-0.0068,-0.0008,-0.0023,normal
0.0045,-0.0068,0,0.0007,normal
0.0052,-0.0053,0.0007,0.0007,normal
0.0015,-0.003,0.003,-0.0015,normal
0.0022,-0.0046,0.0007,-0.0053,normal
0.0052,-0.0015,0.003,-0.0091,normal
0.0045,-0.003,0.0045,-0.0053,normal
0.006,-0.0015,0.0045,0.0007,normal
0.0052,0.0037,0.0045,0.003,normal
0.0052,0.0067,0.0015,0.003,normal
0.0037,0.0075,0.0022,-0.003,normal
0.003,0.0037,0,-0.0038,normal
0.0015,0.0037,-0.0015,-0.0008,normal
0.0037,0.0022,0.0007,-0.0008,normal
0.0022,0.0022,0.0007,0.0007,normal
0.0015,0.0015,0.0015,0.0015,normal
0.003,-0.0015,0.0015,0.0045,normal
-0.003,-0.003,0,0.0015,normal
-0.0053,-0.0083,-0.0008,0.0052,normal
-0.0091,-0.0075,-0.0008,0.0052,normal
-0.0053,-0.0038,0.0007,0.0022,normal
0,-0.003,0.0015,0.0015,normal
0.003,0.003,-0.0008,-0.0008,normal
0.0082,0.0045,0.0022,-0.0015,normal
0.0112,0.0015,0.0015,-0.0015,normal
